TAIL_NUM,SUM_OF_ALL_DELAYS,AVERAGE_OF_ALL_DELAYS,SUM_OF_WEATHER_DELAY,AVERAGE_OF_WEATHER_DELAY,SUM_OF_CARRIER_DELAY,AVERAGE_OF_CARRIER_DELAY,SUM_OF_NAS_DELAY,AVERAGE_OF_NAS_DELAY,SUM_OF_SECURITY_DELAY,AVERAGE_OF_SECURITY_DELAY,SUM_OF_LATE_AIRCRAFT_DELAY,AVERAGE_OF_LATE_AIRCRAFT_DELAY
N461WN,333.0,1.9821428571428572,0.0,0.0,176.0,1.0476190476190477,46.0,0.27380952380952384,0.0,0.0,111.0,0.6607142857142857
N26208,333.0,7.239130434782608,0.0,0.0,137.0,2.9782608695652173,196.0,4.260869565217392,0.0,0.0,0.0,0.0
N850DN,333.0,3.33,62.0,0.62,0.0,0.0,164.0,1.64,0.0,0.0,107.0,1.07
N334NB,333.0,9.0,0.0,0.0,232.0,6.27027027027027,41.0,1.1081081081081081,0.0,0.0,60.0,1.6216216216216217
N490HA,332.0,1.3019607843137255,27.0,0.10588235294117647,130.0,0.5098039215686274,0.0,0.0,0.0,0.0,175.0,0.6862745098039216
N493AS,332.0,4.5479452054794525,37.0,0.5068493150684932,72.0,0.9863013698630136,76.0,1.0410958904109588,0.0,0.0,147.0,2.0136986301369864
N729SW,331.0,2.805084745762712,0.0,0.0,54.0,0.4576271186440678,117.0,0.9915254237288136,0.0,0.0,160.0,1.3559322033898304
N593NW,331.0,3.6777777777777776,33.0,0.36666666666666664,77.0,0.8555555555555555,221.0,2.4555555555555557,0.0,0.0,0.0,0.0
N8620H,331.0,2.470149253731343,0.0,0.0,66.0,0.4925373134328358,160.0,1.1940298507462686,0.0,0.0,105.0,0.7835820895522388
N270AK,331.0,6.0181818181818185,0.0,0.0,85.0,1.5454545454545454,126.0,2.290909090909091,0.0,0.0,120.0,2.1818181818181817
N905AU,331.0,3.377551020408163,0.0,0.0,90.0,0.9183673469387755,99.0,1.010204081632653,0.0,0.0,142.0,1.4489795918367347
